zenodo_id,doi,zenodo_url,title,creators,publication_date,file_count,extracted_chars
11109251,10.5281/zenodo.11109251,https://zenodo.org/records/11109251,CoARA Action Plan of Novia University of Applied Sciences  2024-2028,Novia University of Applied Sciences,2024-05-03,1,18797
11145804,10.5281/zenodo.11145804,https://zenodo.org/records/11145804,Darmstadt University of Applied Sciences CoARA Action Plan,Darmstadt University of Applied Sciences,2024-05-08,1,10779
11151536,10.5281/zenodo.11151536,https://zenodo.org/records/11151536,COARA action plan of the Associazione Italiana per la promozione della Scienza Aperta,"Pievatolo, Maria Chiara",2024-05-08,1,1349
11174564,10.5281/zenodo.11174564,https://zenodo.org/records/11174564,"CoARA Action Plan 2024-2027. University of Jyväskylä, Finland","Kujanpää, Taru",2024-05-10,1,12776
11191148,10.5281/zenodo.11191148,https://zenodo.org/records/11191148,Karlstad University CoARA Action Plan 2024,"Andersson, Sofia; Friman, Margareta",2024-05-14,1,5976
11196757,10.5281/zenodo.11196757,https://zenodo.org/records/11196757,CoARA Action Plan 2024–2027 Norwegian National Chapter - Universities Norway,Norwegian Association of Higher Education Institutions,2024-05-15,1,8127
11198163,10.5281/zenodo.11198163,https://zenodo.org/records/11198163,University of the Arts Helsinki CoARA Action Plan 2024-2028,"Palonkorpi, Riikka; Harju, Tommi",2024-05-15,1,14083
11202491,10.5281/zenodo.11202491,https://zenodo.org/records/11202491,The University of Stavanger CoARA Action Plan 2024-2027,"Dambo, Birgitte",2024-05-15,1,8223
11202606,10.5281/zenodo.11202606,https://zenodo.org/records/11202606,The University of Stavanger CoARA Action Plan 2024-2027,"Dambo, Birgitte",2024-05-15,1,8422
11207258,10.5281/zenodo.11207258,https://zenodo.org/records/11207258,"The University of Vaasa, Finland - CoARA Action Plan 2024","Juppo, Virpi; Lehto, Anne; Andrejeff, Oona; Paschinsky, Charlotta",2024-05-17,1,27083
11218678,10.5281/zenodo.11218678,https://zenodo.org/records/11218678,CoARA Action Plan 2024 - 2027 Oulu University of Applied Sciences,"Tyni, Sanna; Jansson, Noora; Männikkö, Niko; Laakkonen, Mika-Petri",2024-05-20,1,16487
11257249,10.5281/zenodo.11257249,https://zenodo.org/records/11257249,The IRIE - Universitat de les Illes Balears CoARA Action Plan 2024-2027,"Carranza-Guasch, Miguel",2024-05-23,1,10513
11258773,10.5281/zenodo.11258773,https://zenodo.org/records/11258773,CoARA Action Plan - St. Pölten University of Applied Sciences,"Sabbatini, Giuliana; Cermak, Marlene",2024-05-23,1,8858
11273992,10.5281/zenodo.11273992,https://zenodo.org/records/11273992,Haaga-Helia University of Applied Sciences Coara Action Plan 2024-2027,Haaga-Helia University of Applied Sciences,2024-05-24,1,13060
11280820,10.5281/zenodo.11280820,https://zenodo.org/records/11280820,Coalition for Advancing Research Assessment (CoARA): Action Plan 2024-2027 of Jamk University of Applied Sciences,"Kirjalainen, Elina; Parkkinen, Jari; Moilanen, Petri; Valkama, Niina; Liimatainen, Leena; JAMK University of Applied Sciences",2024-05-29,1,12855
11393433,10.5281/zenodo.11393433,https://zenodo.org/records/11393433,"Erasmus MC, University Medical Center Rotterdam - CoARA Action Plan","de Wolf-Collins, Jennifer; Stax, Annelein; van der Heijden, Lotte",2024-05-30,1,12997
11399434,10.5281/zenodo.11399434,https://zenodo.org/records/11399434,Responsible researcher assessment in Tampere University: Action plan for 2024–2028 (Corrected version 2024-05-22),"Ihonen, Markku",2024-05-31,1,21406
11442275,10.5281/zenodo.11442275,https://zenodo.org/records/11442275,CoARA Action Plan 2023-2027- Karelia University of Applied Sciences,"Ilvonen, Anne; Tolkki, Jaana",2024-06-03,1,17426
11473710,10.5281/zenodo.11473710,https://zenodo.org/records/11473710,CoARA – University of Franche-Comté's Action Plan 2024,"University of Franche-Comté; Chambefort, Françoise; Leblois, Thérèse",2024-06-04,1,8908
11487836,10.5281/zenodo.11487836,https://zenodo.org/records/11487836,CoARA Action Plan 2024-2027 Centria University of Applied Sciences,"Jansson, Johanna; Forsell, Marko; Centria University of Applied Sciences",2024-06-05,1,18334
11489368,10.5281/zenodo.11489368,https://zenodo.org/records/11489368,Reforming research assessment: CoARA action plan Radboud University,"Radboud University; Van der Molen, Franke",2024-06-05,1,11114
11612471,10.5281/zenodo.11612471,https://zenodo.org/records/11612471,CoARA Action Plan_Vilnius University,Vilnius University,2024-06-12,1,10565
11656513,10.5281/zenodo.11656513,https://zenodo.org/records/11656513,Lodz University of Technology (TUL) Action Plan  for 2024-2028 in the context of the CoARA Agreement,"Dybala-Defratyka, Agnieszka; Albrecht, Łukasz; Jóźwik, Krzysztof",2024-06-14,1,18179
11657234,10.5281/zenodo.11657234,https://zenodo.org/records/11657234,Action Plan UAB-CoARA (Coalition for Advancement of Research Assessment)  2024-27,"arino, xavier",2024-06-14,1,9750
11913329,10.5281/zenodo.11913329,https://zenodo.org/records/11913329,"CoARA Action Plan 2024 of Deutsche Forschungsgemeinschaft e.V. (DFG, German Research Foundation)","Kiesselbach, Matthias",2024-06-17,1,26565
12188621,10.5281/zenodo.12188621,https://zenodo.org/records/12188621,Italian Reproducibility Network - ITRN Action Plan for the Coalition for Advancing Research Assessment - CoARA.,Italian Reproducibility Network ITRN,2024-06-20,1,7575
12188868,10.5281/zenodo.12188868,https://zenodo.org/records/12188868,Independent Research Fund Denmark CoARA Action Plan 2024-27,Independent Research Fund Denmark,2024-06-20,1,13527
12204439,10.5281/zenodo.12204439,https://zenodo.org/records/12204439,Universidade de Vigo CoARA Action Plan,Universidade de Vigo,2024-06-21,1,7342
